"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CASC3",0.0228502680582483,-0.400928681898479,0.198,0.226,1
"TBC1D12",0.0228782949797801,0.525795891255011,0.051,0.035,1
"HSH2D",0.0229362405005787,0.354604812468707,0.061,0.043,1
"BRD1",0.0230601534340164,0.297586612425931,0.099,0.075,1
"TRPS1",0.02311089901921,0.552099730667492,0.062,0.044,1
"HOXA7",0.0231443070119068,0.44646798178717,0.059,0.041,1
"MTMR10",0.0232045845982673,0.538662821947327,0.05,0.034,1
"TNRC6A",0.0232710778055235,0.46486689261268,0.058,0.041,1
"RCE1",0.023290582671435,0.230401638975656,0.14,0.112,1
"YJU2",0.023342695382655,0.43042624728365,0.064,0.046,1
"RNF144A",0.0233766715292821,0.403805366876401,0.087,0.065,1
"SNX25",0.0234402692720179,0.46262842041668,0.063,0.045,1
"DGKQ",0.0235140933728299,0.341484477107397,0.084,0.062,1
"XPC",0.023530311772615,0.256209496681652,0.125,0.099,1
"CRTC2",0.0235363335752021,0.530754828269137,0.056,0.039,1
"TMC6",0.0235399919350461,0.28218998376152,0.155,0.126,1
"MYOCD",0.0235546079174283,-0.624326836716776,0.03,0.046,1
"IFITM10",0.0235931730544164,0.76388059555204,0.028,0.016,1
"OXNAD1",0.0237567461426242,0.780368718340609,0.032,0.019,1
"ANKRD29",0.0237913048811263,0.657511970555075,0.028,0.016,1
"ELK1",0.0237954233718622,0.187166931713535,0.171,0.14,1
"HAUS4",0.0239023141010904,0.267299136101238,0.115,0.09,1
"GIMAP4",0.0239078348144307,-0.479017910478041,0.08,0.104,1
"TTC30A",0.0239733183752007,0.829278318821555,0.019,0.01,1
"CCDC130",0.0239950479477873,0.230401638975656,0.139,0.111,1
"RIPK1",0.0239979175306185,0.285407674764816,0.077,0.056,1
"KCNH2",0.0240644370143271,0.329261964354244,0.072,0.052,1
"KMT5C",0.0241671336159134,0.401857095086879,0.058,0.041,1
"PTPN22",0.0241863811168018,0.613258732505351,0.035,0.022,1
"TNFRSF14",0.0242365149724048,0.115193807242413,0.183,0.149,1
"USP13",0.0242406951160379,0.550886872217841,0.028,0.016,1
"LRRC37A2",0.0242442156777443,0.60633931856556,0.035,0.022,1
"ZNF20",0.0242498015871525,0.675671339673916,0.03,0.018,1
"MID2",0.0242596462721302,0.50650728202246,0.055,0.038,1
"MIGA2",0.0242789227983399,0.216808694351677,0.08,0.059,1
"PRR12",0.0242995251018697,0.20227293710772,0.111,0.086,1
"ERMN",0.024398260781331,1.20486654686852,0.015,0.007,1
"SMIM8",0.0244587635136473,0.376302336882768,0.063,0.045,1
"MAP3K1",0.0244844165986724,0.299242028603993,0.092,0.069,1
"ZFAT",0.0245207628625246,1.11740370561818,0.015,0.007,1
"DNAJC16",0.0245245613877751,0.480808436481701,0.037,0.024,1
"PCDH18",0.0245826620866947,-0.401946263620504,0.13,0.158,1
"BDKRB2",0.0245964343395975,-0.687780117397797,0.038,0.057,1
"DNAJC12",0.024616903124398,0.49859774992523,0.048,0.033,1
"CNRIP1",0.0246256046107895,-0.454690114832,0.07,0.093,1
"SOCS2",0.0246332737859149,0.343957568269198,0.064,0.046,1
"EEFSEC",0.0246334210102407,0.587723640398213,0.033,0.021,1
"HOPX",0.0246770636452505,-0.410996807375215,0.13,0.158,1
"USP32",0.0246798529299491,0.145653182422353,0.204,0.169,1
"C4BPB",0.0246798921449317,0.576835324255478,0.032,0.019,1
"C2orf42",0.0246798921449317,0.576835324255478,0.032,0.019,1
"RFLNA",0.0246798921449317,0.576835324255478,0.032,0.019,1
"TMEM179",0.0249028477017355,1.46486689261268,0.012,0.005,1
"ENTPD1",0.0249128529742059,-0.470174743309988,0.102,0.128,1
